timestep,is_occluded,num_segments,occluded_ranges_deg,segments_start_idx_end_idx,segments_stability
435,0,0,,,
436,0,0,,,
437,0,0,,,
438,0,0,,,
439,0,0,,,
440,0,0,,,
441,0,0,,,
442,0,0,,,
443,0,0,,,
444,0,0,,,
445,0,0,,,
446,0,0,,,
447,0,0,,,
448,0,0,,,
449,0,0,,,
450,0,0,,,
451,0,0,,,
452,0,0,,,
453,0,0,,,
454,0,0,,,
455,0,0,,,
456,0,0,,,
457,0,0,,,
458,0,0,,,
459,0,0,,,
460,0,0,,,
461,0,0,,,
462,0,0,,,
463,0,0,,,
464,0,0,,,
465,0,0,,,
466,0,0,,,
467,0,0,,,
468,0,0,,,
469,0,0,,,
470,0,0,,,
471,0,0,,,
472,0,0,,,
473,0,0,,,
474,0,0,,,
475,0,0,,,
476,0,0,,,
477,0,0,,,
478,0,0,,,
